,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,level
61,61,2575,2022-99EC23,"{ทางเท้า,น้ำท่วม}","เขตหลักสี่,สำนักการระบายน้ำ กทม.,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วมทางเท้า คนต้องเดินลุยน้ำ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/3d7bbc299ce4e89b9e8848cb65f06c31053efe1e.jpg,,"100.58286,13.88570",201/2 ถนน วิภาวดีรังสิต แขวง ตลาดบางเขน เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,2022-05-31 12:26:09.524101+00,เสร็จสิ้น,2.0,0,2022-07-06 02:02:54.906606+00,2.0
62,62,2588,2022-P36VYH,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ฝนตกมีน้ำท่วมขังหนักมากค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/933ebd50c94a98c61fb7ae0381c5811f030cefc6.jpg,,"100.59602,13.87628",14 ถ. แจ้งวัฒนะ แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-05-31 12:35:40.236194+00,เสร็จสิ้น,5.0,0,2022-06-12 08:37:37.152067+00,2.0
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
67,67,2810,2022-7BL7H9,{น้ำท่วม},"เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ปัญหาน้ำท่วมในซอยลาดพร้าว 1 (ภาพเก่า),https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/89147b0b86af008ea82d68482c8f8f31f317d19a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/acdabd8754e8d2d297a531ce3bc59fe4267faba5.jpg,"100.56309,13.81271",เลขที่ 2B-06 54 ซอย ลาดพร้าว1 ถ. ลาดพร้าว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-05-31 16:54:48.80533+00,เสร็จสิ้น,,0,2023-02-13 10:33:00.449203+00,2.0
70,70,2838,2022-973FZ4,{น้ำท่วม},"เขตบางรัก,ฝ่ายโยธา เขตบางรัก,ผอ.เขตบางรัก (ผอ.ธราพร ),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",เส้นถนนศาลาแดง 1 และ ศาลาแดง 2 รวมถึงซอยมราช (สีลม) เวลาฝนตกหนักๆ น้ำท่วมสูง ทำให้สัญจรไปมาไม่ได้ เดินเข้าบ้านไม่ได้  อีกทั้งบริเวณนี้ยังมีโรงเรียนเซนต์โยเซฟคอนเวนต์ และออฟฟิศมากมาย คนเดือดร้อนเป็นจำนวนมาก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/190b58937c8d46ec7f60963a31d655d2719525ea.jpg,,"100.53681,13.72669",39 ถนนศาลาแดง แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,สีลม,บางรัก,กรุงเทพมหานคร,2022-05-31 21:47:07.038982+00,เสร็จสิ้น,,0,2023-02-07 02:34:45.965024+00,2.0
71,71,2913,2022-A394X6,"{น้ำท่วม,ท่อระบายน้ำ}","เขตหนองแขม,ผอ.เขตหนองแขม (นางมณีวรรณ),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",หมู่บ้านศรีเพชร เพชรเกษม 106 เขตหนองแขม น้ำท่วมบ่อยมากทุกครั้งที่ฝนตก ท่วมประมาน 1-2 วัน ท่อน้ำตันไม่ระบาย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/1b5c66040c41897b422db01d4c456b0fcf47eb49.jpg,,"100.35385,13.70806",1005/35 ถนน เพชรเกษม แขวง หนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,2022-06-01 00:57:52.998266+00,เสร็จสิ้น,4.0,0,2022-06-07 02:21:51.457387+00,2.0
81,81,4101,2022-4ZB7BG,"{ถนน,น้ำท่วม}","กลุ่มงานระบายน้ำ ฝ่ายโยธา@ห้วยขวาง,เขตห้วยขวาง",อยากให้แก้ไขน้ำท่วมที่ ซอย อสมท ถนนพระราม 9 ซอย 7 นะคะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/33bfebfc423dc84a9dbf92a0212815adccff3105.jpg,,"100.57032,13.76066",105 ถนน พระราม 9 แขวง ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,2022-06-02 08:27:14.439729+00,กำลังดำเนินการ,,0,2022-06-22 06:56:32.935128+00,2.0
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
83,83,4197,2022-F4GGCG,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ประเภท: น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/05f42fdd8a4db9b596ea620ecc88e29d236567ca.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/f32ba7d6ff9b142e4b19b7fddbefa83bc57ec732.jpg,"100.61528,13.86283",332 ซ. ลาดปลาเค้า 78 อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-02 09:07:50.268397+00,เสร็จสิ้น,3.0,0,2022-06-12 09:30:04.231155+00,2.0
84,84,4198,2022-E2BVQZ,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ประเภท: น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2a5fbfb6f89d9b79e545f931a3c2c091aa9a02ec.jpg,,"100.61528,13.86283",332 ซ. ลาดปลาเค้า 78 อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-02 09:07:46.07846+00,เสร็จสิ้น,5.0,0,2022-06-12 09:34:59.705129+00,2.0
85,85,4209,2022-M3FWYL,"{จราจร,ถนน,น้ำท่วม}","เขตบางนา,สำนักการระบายน้ำ กทม.,ผอ.เขตบางนา (น.ส.โศรยา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ในซอยสุขุมวิท 107 เกิดน้ำท่วมทุกครั้งที่ฝนตก ทำให้เกิดปัญหารถติดเรื้อรัง ซึ่งในซอยนี้มีโรงเรียนถึง 2 โรงเรียนแล้วหมู่บ้านต่างๆอีกมากมาย ซึ่งในปัจจุบันโรงเรียนเปิดแล้ว หากไม่ได้มีการแก้ไข จะนำไปสู่ปัญหารถติดของเขตบางนาลามไปถึงถนนสุขุมวิท,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/ff507c06f3f092485de52ac62530525943f77d75.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a9c39a047e690921575e7b84404eac36f7be6c9e.jpg,"100.60152,13.65848",4599 ถ. สุขุมวิท 107 แขวง บางนา เขตบางนา กรุงเทพมหานคร 10270 ประเทศไทย,บางนาเหนือ,บางนา,กรุงเทพมหานคร,2022-06-02 09:13:35.601791+00,เสร็จสิ้น,,0,2022-10-22 03:59:38.614256+00,2.0
86,86,4215,2022-3RV7NB,{น้ำท่วม},"เขตพระโขนง,ฝ่ายโยธา เขตพระโขนง,ผอ.เขตพระโขนง (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",อุดมสุข 47 น้ำท่วมไม่มีการลอกท่อร่วม 10 ปีแล้ว,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/840b1acde55b7684b72fb7b0bf5cd44960dd84f6.jpg,,"100.63430,13.67959",155/32 อุดมสุข 47 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2022-06-02 09:16:25.203802+00,เสร็จสิ้น,5.0,0,2022-06-20 14:49:37.010668+00,2.0
87,87,4221,2022-3GV4AV,{น้ำท่วม},"เขตหลักสี่,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/9636b43e8adb9c26fa96c865d007947ba15800a6.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0c2d8f1a14cf95a73995c3f9ab4de1d1941021d2.jpg,"100.58031,13.88341",หลักสี่ แขวง ตลาดบางเขน เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,2022-06-02 09:17:36.104438+00,เสร็จสิ้น,,0,2022-06-03 05:48:14.138762+00,2.0
88,88,4225,2022-D7ULPL,{น้ำท่วม},"เขตจตุจักร,ฝ่ายโยธา เขตจตุจักร,สำนักการระบายน้ำ กทม.,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/569d1e4d961f0ba1982c4e0575744c92653f1f0d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6b9ef9612bc5715c63123632c40fe1e66d22d977.jpg,"100.58267,13.85697",2629 ถ. พหลโยธิน แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2022-06-02 09:18:58.718784+00,เสร็จสิ้น,,0,2023-02-13 10:26:26.588552+00,2.0
93,93,4425,2022-6PDZ6H,"{ถนน,น้ำท่วม}","เขตบางเขน,เขตบางพลัด,ผอ.เขตบางเขน (น.ส.อัญชนา),ผอ.เขตบางพลัด (น.ส.อารียา),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ),สำนักการโยธา กทม.,สำนักการระบายน้ำ กทม.",น้ำท่วมถนนจรัญสนิทวงศ์ช่วงตลาดพงษ์ทรัพย์ ตอนฝนตกหนัก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/28732171ae619d560193b7dc60188a0675ea2c87.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-04/1682471619016.jpeg,"100.48682,13.77899",386 ถ. จรัญสนิทวงศ์ แขวง บางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,2022-06-02 10:58:32.346619+00,เสร็จสิ้น,,0,2023-04-26 01:13:41.177675+00,2.0
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
98,98,4641,2022-NH7EDT,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ทางเข้าหมู่บ้านอมรินทร์ ตรง bts สถานีวัดพระศรีเวลาฝนตกหนักๆ น้ำท่วมเยอะมากเลยครับรถเล็กแทบวิ่งไม่ได้,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/781e409fc6cb66822b7dc11698ae851fba7b973a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2511aeef2d58bc78208481a34beec22989a65bc7.png,"100.59802,13.87589",ซอย รามอินทรา 3 ถ. รามอินทรา แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-02 13:32:35.788987+00,เสร็จสิ้น,,0,2022-06-02 14:21:27.503702+00,1.0
99,99,4822,2022-8VGWWC,"{แสงสว่าง,น้ำท่วม,ถนน,ความปลอดภัย}","เขตจตุจักร,สำนักการโยธา กทม.,สำนักการระบายน้ำ กทม.,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ),การไฟฟ้านครหลวง MEA,การไฟฟ้านครหลวง เขตบางเขน",ถนนตลอดเส้นรัชดา-ศาลอาญา-รัชโยธิน ไฟมืดมากค่ะ ขับมอเตอร์ไซค์กลางคืนอันตรายมาก ถนนเลนใหญ่ แต่ไฟไม่ค่อยติด/สว่างไม่พอ และมีน้ำท่วมสูงตลอดถ้าหากฝนตกติดต่อกันหลายชั่วโมง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/3332290958fc054b060d7780217369ce1b79b159.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/c735734dd67b52d1da46217a18629d3b1dedcb32.jpg,"100.57551,13.81676",234/2 ถ. รัชดาภิเษก แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-06-02 15:56:39.836322+00,เสร็จสิ้น,,0,2022-11-07 08:42:51.117037+00,2.0
100,100,4827,2022-D7BMGY,{น้ำท่วม},"เขตบางบอน,ฝ่ายโยธา เขตบางบอน,ผอ.เขตบางบอน (นางทวีพร),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",น้ำท่วมรอการระบาย ตอนฝนตกหนัก,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/9ce97e5435a686e5f46c49db800ebeded091be5a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/c46ecc3ea2fce5783343fed1fcff98a1f111ba7c.jpg,"100.42646,13.66532",15/151 เอกชัย แขวง บางบอน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,2022-06-02 16:02:32.216762+00,เสร็จสิ้น,3.0,0,2022-07-04 08:47:55.562852+00,2.0
